,IM,BL1,MSL,M,BL2,LAR
MB.0316,0.491063842234018,0.34258503247103,-0.345569230568786,-0.515816508300149,0.121590361445783,-0.153487503466802
MB.0658,0.270960685618624,-0.118707346089587,0.0879719584666063,-0.195471384039682,0.369491643995336,-0.16849571460954
MB.0420,-0.476108921314104,-0.174140766913969,0.301621090908721,0.554790104861133,0.142271278663039,-0.102959815251037
MB.0157,0.273201941868065,-0.198283113039999,0.184550016275254,-0.247251748395415,0.224498251068791,-0.170562332531815
MB.0292,-0.488500016538518,-0.373644165459312,-0.00273706650046477,0.193906810035842,0.351682083171395,0.524879542967321
MB.0401,-0.40116403831797,-0.169265941740842,0.264150383884589,0.399061125316746,0.188399533618344,-0.129945063868804
MB.0372,0.11820540948961,-0.0272740451233527,-0.0426621874944678,-0.00363453788094025,-0.245494753206374,-0.0337153316912343
MB.0164,-0.000212595134067243,0.0750218052742443,-0.136059868525585,-0.0626069619133662,0.279484648270501,-0.262759870253609
MB.0516,-0.381993708802346,0.200379658776815,-0.227164386657812,0.420686961432329,0.198077730275942,-0.247645906601777
MB.0494,0.128224853866473,-0.383081374772938,0.0673437120885316,-0.279807705316515,0.526802953750486,0.0939050031437257
MB.0400,-0.341450392509609,0.223635864472831,0.0514024992620375,0.298051848811963,-0.0498056743101438,-0.18500466527189
MB.0581,-0.614988271320269,-0.47041763275302,0.0455669347661983,0.396816133992956,0.509086669257676,0.454870323159152
MB.0664,-0.0712498226551457,0.57128506559399,-0.469972609476787,0.0577529442242195,-0.0424640497473766,-0.304998152852289
MB.0446,0.0495842817922943,-0.181008962635843,0.106994753485654,-0.0481289400592377,0.280334240186553,-0.0601028799884742
MB.0115,-0.0842342543055504,0.216476931761032,-0.0547832138761214,0.195032387343306,-0.347119315973572,-0.190915246537492
MB.0354,0.626565507430442,-0.430598812918441,0.308514104982451,-0.665240140362692,0.261382044306257,0.168597261108122
MB.0481,-0.269783307140512,-0.0653792174072901,0.0563308463672399,0.287027274317065,-0.11495996890789,-0.0701488632426076
MB.0238,0.539000996958279,0.0562301535561021,-0.136517382264862,-0.537491750960947,-0.098671589584143,-0.093845983005464
MB.0525,-0.569190845479121,-0.546422922708502,0.0978329633611945,0.351166891401307,0.600171006607073,0.533677749578836
MB.0869,-0.198691953559841,0.517390040273957,-0.425728364561052,0.261407625544487,0.238579090555772,-0.327712018093189
MB.4622,-0.0484149402139401,0.260448836363666,0.055439055413821,0.229839999959914,-0.293211037699184,-0.147990403146787
MB.4717,-0.296633140402178,0.221026034323162,-0.309933530945106,0.285739547333825,-0.133736494364555,-0.108991933707213
MB.4757,0.132263395994726,0.193415252596994,-0.0664595253757506,-0.146024501838214,-0.362266614846483,-0.0330255168264122
MB.4715,-0.00828607098660052,0.00178669623167608,-0.102691043892476,0.132324908665537,-0.180602409638554,-0.0463816303530275
MB.5281,-0.559393126591832,-0.577117622143954,0.300854794143156,0.325927663005271,0.14281150408084,0.673480109047768
MB.5323,0.676119117788967,-0.329876991528135,0.421759677467828,-0.570621846010922,-0.256210649047804,-0.0697767915875749
MB.4911,-0.165560244354556,0.663297410983055,-0.427456198181429,0.206874575021033,-0.240896230081617,-0.241093835880809
MB.4888,-0.198297926780563,-0.167115945749611,0.332596771408946,0.213230631857601,0.21241896618733,-0.173776997050703
MB.4945,-0.356775366191496,0.326429774059296,0.091018728251781,0.437016325706386,-0.316023319082783,-0.0868179240002459
MB.5072,-0.434938480812722,-0.53076782910172,0.130967037336265,0.117643247663587,0.138003886513797,0.768144068818025
MB.5115,-0.231685340612833,0.482262047160941,-0.157793212072173,0.344468546420356,-0.481327633113098,-0.107505269266656
MB.4733,0.511703994967917,-0.333081901176958,0.356277926664558,-0.496533775085973,-0.0190555771472989,0.271028274959088
MB.4758,-0.652781956449298,0.183275739334447,-0.0651365570260289,0.702826244796905,-0.125048581422464,-0.0638546899329051
MB.4732,0.215655388672947,-0.175114047455727,0.00937535062148562,-0.165905825913583,-0.0900435289545278,-0.0610252493513419
MB.5236,0.362208665800832,0.631060428752026,-0.328772044215317,-0.310621655600302,-0.399181500194326,-0.172605734830251
MB.4993,-0.405884076742005,-0.61446120928771,0.207365293117201,0.117814967978446,0.256362223085892,0.692095940712231
MB.5232,-0.0824966711106531,-0.177939622268672,0.336839417012415,0.160055008626102,0.0279906723668869,0.116388752012765
MB.5126,0.221394445846194,0.376131707905698,-0.186997491980977,-0.2088819038256,-0.175892732219199,-0.0451838304403881
MB.4938,-0.666128759335037,0.103875872312201,0.0958630654500624,0.670770165862683,0.0414504469490867,-0.174837766500791
MB.5070,0.166273778903794,-0.0207840504440825,-0.112299437850456,-0.128558085511405,0.102345899727944,-0.0847269733843655
MB.5138,0.55570375222074,0.0864740891793199,-0.302278760854599,-0.571664644806525,0.214550330353673,0.0594086842674381
MB.5258,-0.431553005130768,0.52528221329405,-0.279877346020242,0.464840027519345,-0.0428457054022542,-0.193631309394599
MB.5421,-0.228750450708792,-0.0857999680918178,0.0917686541043804,0.370803036748749,-0.261357947920715,-0.0849133103350362
MB.5348,0.521823217181907,0.247654627131835,-0.20684535921791,-0.358565396277072,-0.0974659930042752,-0.265369374368661
MB.5100,0.51831918356033,0.0312865395252484,-0.00127946192199507,-0.449373974977038,-0.0407291099883405,-0.185941750814723
MB.5446,-0.398799686287545,-0.608976565302848,0.242173062878424,0.10941324967292,0.19335095219588,0.729887226853129
MB.5427,-0.51335530450419,0.286051346258037,-0.0788286461625502,0.596419779253961,-0.213863972017101,-0.0636967459815989
MB.5209,0.364153185496294,-0.171413508175054,-0.0203257840740998,-0.360980404241747,0.113439564710455,0.27809288642979
MB.5223,0.0757383491606497,-0.326668842469952,0.528433309199153,-0.0232949856365252,0.0506537116206763,-0.0373100621992217
MB.5616,0.576822455863342,0.0461717874979855,-0.125345457140671,-0.555598197512937,0.0067462106490478,-0.185994058820736
MB.5602,0.395042244296056,-0.195823591484565,0.116301435876793,-0.483691230137792,-0.0605697629226584,0.275467179946301
MB.5634,0.438740180425666,0.289323149710113,-0.207764539968022,-0.432105435371378,-0.295183832102604,-0.096691781373866
MB.5548,0.282003959949996,-0.222948299836491,0.12184078613899,-0.208717900151677,-0.023079673532841,-0.0148148317957143
MB.5526,0.0341083838806034,0.104450705502866,-0.0717683145774576,0.119719124291535,-0.104814613291877,-0.169433917222138
MB.5531,0.0185499573962304,-0.111396647049343,0.0998957226122194,-0.0170768762837058,0.307406917994559,-0.180417452274311
MB.5551,-0.526709105506725,-0.0223687695022566,-0.0092473983749544,0.491258248412702,0.156767197823552,-0.0865219102258237
MB.5560,-0.0395867612032059,-0.0260289781364164,0.16293338813553,-0.00894519030288818,-0.0941453556160124,-0.00632772425729237
MB.5529,-0.0599212110459806,0.316143353582341,-0.000543121989771134,0.02386150734058,-0.192497473766032,-0.18453278586165
MB.4408,0.232080870893766,0.25215886387435,-0.164297816548857,-0.152916414247324,-0.251099106101827,-0.00791261312808365
MB.4146,0.437550937952674,0.110245684904271,0.0365888815007206,-0.304765627074787,-0.267654877574815,0.0844139898631455
MB.2957,0.175145696144502,0.198836242187962,0.0648049976038166,-0.206172410803899,-0.0444485036921881,-0.117146892692685
MB.3063,-0.355577212054147,0.128817380726972,0.00573812608116742,0.352825067257541,0.153929265448892,-0.104904886269087
MB.3046,-0.512685152811808,-0.15903556304579,0.393938340118746,0.534019112215493,-0.0447633113097552,-0.0334359282585547
MB.3014,0.328509753761966,0.462182730222798,-0.326586999572249,-0.314260152017826,-0.212576758647493,-0.144909165326248
MB.3277,0.360094633127827,0.0909090025615629,-0.182631810248332,-0.28125402430341,0.0142868247182277,-0.138095166029205
MB.3271,0.451691945085559,0.00228022024744228,-0.147522704288833,-0.413253881996526,0.159670423630004,-0.150044772156234
MB.3292,0.281725648125393,0.227741653864251,0.180941549810597,-0.186509557861528,-0.122184220753984,-0.297722065504349
MB.2917,0.0750024807777313,0.0593754580727296,-0.208030446217083,-0.16183524771169,0.0875623785464438,-0.0433748670881251
MB.3706,-0.0936553050235817,0.370395685754616,-0.240261443964411,0.122567115985623,-0.125581811115429,-0.264376717033367
MB.3453,-0.355269677624642,-0.441222131968678,0.20397324479414,0.145412882881935,0.41991916051302,0.43859341217139
MB.2842,0.124401285138542,0.108435664925214,-0.222592579147491,-0.238944183130922,0.117315196268947,-0.0418735738904544
MB.2912,0.0329552527837333,0.317455962254402,-0.121117511454614,-0.00927610391809938,-0.210052856587641,-0.222621387406089
MB.2849,0.20465645397221,-0.438922961176489,0.143811241532987,-0.335249565688407,0.226153128643607,0.582722357690946
MB.3058,-0.46026890263788,-0.257082118217385,0.293693718478273,0.395983638716893,0.347272444617178,-0.043655863559428
MB.3057,0.199554061409022,0.403331894495677,-0.488685228973251,-0.168768148512267,-0.00647804119704625,-0.342278967250934
MB.3395,0.240866405130276,-0.137961099552719,0.439286253380708,-0.234203910733497,0.019266226195103,-0.211603971142222
MB.2857,0.570513954272227,-0.430833022215059,0.381365503178294,-0.540889879024116,0.177398367664205,-0.0539300495963434
MB.2827,0.331010623742697,0.361620935654802,-0.182742749822735,-0.252573975778767,-0.0785860862806063,-0.20312442082361
MB.3702,-0.00895827290851302,-0.421505628878686,0.557817015282756,0.0323828836886746,-0.244570540225418,0.120004619423461
MB.3502,0.0728991366346767,-0.0631187575569346,0.132170226787274,-0.108218022164798,0.108807617567042,-0.0427629751247407
MB.0079,-0.0823896764655793,-0.373969888070308,0.243680312976983,-0.0357229365125894,-0.0950291488534784,0.430877762727232
MB.0062,0.133208305780526,0.248182974798205,-0.23326010578758,-0.176065535326933,-0.275977458219977,-0.0150040828414276
MB.4015,-0.390410939806081,-0.443851722515434,-0.0458510766623942,0.078526091516355,0.504031092110377,0.455173369616277
MB.2929,-0.240467594482094,-0.644004460666687,0.258673950237607,-0.0601360333559321,0.23098639720171,0.700188635200294
MB.2724,0.619160679768636,-0.280768841417144,0.316339219750179,-0.538718746977858,-0.228927322191994,0.177407862337218
MB.3062,0.331460362092404,-0.488013456506475,0.576006903778675,-0.394619597161278,0.187501748931209,-0.0384205655380364
MB.4707,-0.235080985433256,0.332213577498415,-0.22180518909022,0.320155314936661,-0.344101826661485,-0.083803933779638
MB.3383,-0.413994429389685,-0.420922535194158,0.377722284849575,0.312816188109658,0.339895841430237,0.137256440907709
MB.7114,0.353680175674601,0.493857836900598,-0.39322296028293,-0.290758370425823,-0.318398756315585,-0.214143731249255
MB.7208,0.447198443356395,-0.176482859880158,-0.1764827282388,-0.595344109572293,-0.0411076564321803,0.516420080477203
MB.3001,0.13434118060964,0.269222938581608,-0.0506695255382488,-0.0935872709498033,-0.15524290711232,-0.0793641545639119
MB.7023,0.0873850197109067,-0.170306763967726,0.0735308637359067,-0.184631708278903,0.443152739992227,-0.0147067188696357
MB.3500,0.277895053944273,0.282596840118141,-0.353409444839819,-0.280546498524067,-0.200098717450447,-0.120943812828375
MB.3396,-0.183658877890243,-0.436212385395771,0.169378200032165,-0.0482493497226769,0.473903614457831,0.292735456353889
MB.7145,-0.051349228717319,0.428101714214447,-0.228647455755489,0.0401291384871475,-0.322261951029926,-0.0472222204953511
MB.7155,0.326090236888987,0.326285620342843,-0.345010548946499,-0.264388854564869,-0.35352662261951,-0.181991432715993
MB.3218,0.133649569848176,0.485935537373471,0.037721283705282,-0.0568448859966518,-0.388489700738438,-0.150990920534649
MB.7270,0.169922422048223,-0.308915097510271,0.11987970333484,-0.253837199921631,-0.0974628837932375,0.404160921690184
MB.7008,-0.272091072835908,-0.683096357041221,0.542632848202962,-0.0362861009767564,0.273606684803731,0.699575762158245
MB.7009,-0.310387966300787,0.103429967614005,0.135020109704975,0.397438225533363,-0.180935095219588,-0.169260169162052
MB.3153,0.0667535872866087,-0.307821148969908,-0.108834628568808,-0.265226460862851,0.256263505635445,0.333322661269711
MB.3211,0.186299573524921,-0.0207375649197882,-0.100777681330928,-0.142400085784995,-0.14789195491644,-0.0369462374331594
