,IM,BL1,MSL,M,BL2,LAR
MB.0316,0.591430423273987,0.282514073209032,-0.285131500932524,-0.61522292824476,0.0765308977846871,-0.0907484553936363
MB.0658,0.28055023786763,-0.143151767138298,0.113526771976358,-0.204643513737375,0.379650991061018,-0.150326244596394
MB.0420,-0.469909874643499,-0.173729523895908,0.288185354285809,0.537693536110623,0.146778857364944,-0.102083915990448
MB.0157,0.338731651470821,-0.325764723317997,0.328505580967738,-0.288176352303743,0.247349397590361,-0.101033880123766
MB.0292,-0.4646155805963,-0.416671458293009,0.0563807461692609,0.192155733840026,0.337164399533618,0.552526213450546
MB.0401,-0.399482303375471,-0.246015971907842,0.407302550866739,0.441980831663482,0.141772250291489,-0.0738887059700638
MB.0372,0.13034380709035,0.0481867001189673,-0.154155624271951,-0.0227571758497199,-0.195777691410805,-0.098402462013994
MB.0164,0.0254694820600816,-0.00202511676046106,-0.0445217149383782,-0.0704484220220906,0.279912164788185,-0.207133555073948
MB.0516,-0.361660379751714,0.172445098085266,-0.180781751779229,0.418207414288914,0.193914496696463,-0.230900457699424
MB.0494,0.182092529865694,-0.511956740927427,0.212181865150223,-0.336607544169,0.534788184998057,0.217543129966541
MB.0400,-0.341977301498827,0.176151306332316,0.149589834767358,0.321929240406938,-0.0757007384376215,-0.129395416975528
MB.0581,-0.595537197040999,-0.503436284462254,0.102678063405272,0.394144071690601,0.492704236300039,0.48229117070388
MB.0664,-0.0462874033624311,0.575188715841441,-0.441608440745856,0.0469690387320256,-0.13337893509522,-0.245327034898969
MB.0446,0.0552521276598653,-0.218383486138972,0.147627359466913,-0.04706950538837,0.271993004275165,-0.0273980981760951
MB.0115,-0.0877016571595245,0.225556186340545,-0.0734131190926523,0.180404492287618,-0.333118538670812,-0.202788377096954
MB.0354,0.683384393160762,-0.4986994581278,0.392982494335749,-0.713145097402549,0.231734162456277,0.226172960166497
MB.0481,-0.316488902654282,-0.0301780136427725,-0.00466522584873194,0.301541323864915,-0.0497007384376215,-0.126369488678896
